recipe_id;building_id;building_name_de;building_name_en;mode_name_de;mode_name_en;workers;education;input_1_good_de;input_1_good;input_1_qty_per_worker_workday;input_2_good_de;input_2_good;input_2_qty_per_worker_workday;output_good_de;output_good;output_qty_per_worker_workday;profit_per_worker_workday;efficiency_basis_percent;measurement_basis;data_status;notes;source_url;secondary_source
lumber_mill_normal;lumber_mill;Sägewerk;Lumber Mill;Normalbetrieb;Normal Mode;4;;Baumstämme;Logs;4;;;;Bretter;Planks;10;15;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
lumber_mill_hasty_debarking;lumber_mill;Sägewerk;Lumber Mill;Hastiges Entrinden;Hasty Debarking;4;;Baumstämme;Logs;6.8;;;;Bretter;Planks;13;17.1;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
rum_distillery_normal;rum_distillery;Rumbrennerei;Rum Distillery;Normalbetrieb;Normal Mode;4;;Zucker;Sugar;6.8;;;;Rum;Rum;3.5;15.2;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
rum_distillery_dunder_still;rum_distillery;Rumbrennerei;Rum Distillery;Dunder-Destille;Dunder Still;4;;Zucker;Sugar;5.1;;;;Rum;Rum;3.5;19.45;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
tannery_normal;tannery;Gerberei;Tannery;Normalbetrieb;Normal Mode;5;;Häute;Hides;3.65;;;;Leder;Leather;1.825;7.1175;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
tannery_chrome_tanning;tannery;Gerberei;Tannery;Chromgerbung;Chrome Tanning;5;;Häute;Hides;2.725;;;;Leder;Leather;1.825;7.81125;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
cannery_pineapple;cannery;Konservenfabrik;Cannery;Ananas;Pineapple;8;;Ananas;Pineapple;2.85;;;;Konserven;Canned Goods;2.5;7.44;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
cannery_fish;cannery;Konservenfabrik;Cannery;Fisch;Fish;8;;Fisch;Fish;1.875;;;;Konserven;Canned Goods;2.5;7.125;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
cannery_meat;cannery;Konservenfabrik;Cannery;Fleisch;Meat;8;;Fleisch;Meat;1.7;;;;Konserven;Canned Goods;2.5;8.09;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
cannery_coffee;cannery;Konservenfabrik;Cannery;Kaffee;Coffee;8;;Kaffee;Coffee;1.15;;;;Konserven;Canned Goods;2.52;7.726;100;je Arbeiter und Arbeitstag bei 100 % Effizienz;measured_community;;https://steamcommunity.com/sharedfiles/filedetails/?id=1720095953;https://github.com/LosLebos/AI-Repository/blob/tropico-planner-stage1/script.js
